,QueryNumber,1,2,3,4,5,6,7,8,9,10
34,35.0,0.0,1.0,1.0,3.0,3.0,3.3868528072345416,3.743059994342564,3.743059994342564,3.743059994342564,3.743059994342564
35,36.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
36,37.0,4.0,8.0,10.523719014285831,12.523719014285831,14.246425246579403,15.793836475517569,15.793836475517569,15.793836475517569,17.055695982660485,18.25981596531641
37,38.0,4.0,8.0,8.630929753571458,8.630929753571458,8.630929753571458,8.630929753571458,8.630929753571458,9.964263086904792,9.964263086904792,9.964263086904792
38,39.0,4.0,4.0,6.52371901428583,7.02371901428583,7.454395572359223,7.454395572359223,7.454395572359223,8.121062239025889,9.382921746168805,10.58704172882473
39,40.0,0.0,0.0,0.0,0.0,0.0,0.38685280723454163,0.38685280723454163,1.7201861405678749,2.0356510173536035,2.0356510173536035
40,41.0,4.0,4.0,4.0,6.0,6.0,6.0,7.4248287484320885,8.758162081765422,8.758162081765422,8.758162081765422
41,42.0,4.0,8.0,10.523719014285831,12.523719014285831,14.246425246579403,15.793836475517569,17.218665223949657,17.218665223949657,17.534130100735386,17.835160096399367
42,43.0,4.0,5.0,5.0,5.5,5.930676558073393,6.3175293653079345,6.673736552415956,6.673736552415956,7.935596059558872,9.139716042214797
43,44.0,4.0,8.0,10.523719014285831,10.523719014285831,12.246425246579403,12.246425246579403,13.671253995011492,15.004587328344826,16.26644683548774,17.470566818143666
44,45.0,4.0,7.0,7.0,7.0,7.0,7.386852807234542,7.386852807234542,7.386852807234542,7.386852807234542,7.386852807234542
45,46.0,0.0,4.0,4.0,6.0,7.7227062322935724,7.7227062322935724,7.7227062322935724,9.056039565626905,10.317899072769821,10.317899072769821
46,47.0,0.0,0.0,0.0,2.0,2.430676558073393,2.430676558073393,2.430676558073393,2.430676558073393,2.430676558073393,2.430676558073393
47,48.0,0.0,0.0,0.0,0.0,0.0,1.5474112289381665,1.5474112289381665,1.5474112289381665,1.5474112289381665,1.5474112289381665
48,49.0,4.0,8.0,10.523719014285831,12.523719014285831,14.246425246579403,15.406983668283027,16.831812416715117,16.831812416715117,17.778207047072303,17.778207047072303
49,50.0,4.0,8.0,10.523719014285831,12.523719014285831,12.523719014285831,14.071130243223998,14.071130243223998,14.071130243223998,14.071130243223998,14.071130243223998
50,51.0,4.0,8.0,10.523719014285831,12.523719014285831,14.246425246579403,15.793836475517569,17.218665223949657,18.55199855728299,18.867463434068718,18.867463434068718
51,52.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
52,53.0,3.0,6.0,8.523719014285831,8.523719014285831,8.523719014285831,8.523719014285831,8.523719014285831,8.523719014285831,8.523719014285831,8.523719014285831
53,54.0,4.0,8.0,8.0,8.5,8.5,9.273705614469083,10.698534362901173,10.698534362901173,11.64492899325836,11.64492899325836
